"","baker","baker_age","series","episode","technical","result","signature_bake","show_stopper","baker_occupation","hometown"
"331","paul",49,6,1,10,"in","lemon, ginger and caraway seed madeira cake","black forest chocolate creation","prison governor","swansea, wales"
"332","sandy",49,6,1,9,"in","madeira cake with almond liqueur and chopped apricots","black forest gâteau","child welfare officer","yeadon, west yorkshire"
"333","tamal",29,6,1,4,"in","pistachio and rose madeira cake","black forest gâteau in a chocolate shell","trainee anaesthetist","manchester"
"334","ugnė",32,6,1,1,"in","lemon and thyme madeira cake","falling cup gâteau","pa and administrator","woodford, london / vilkaviškis, lithuania"
"335","stu",35,6,1,11,"out","marley madeira cake","purple forest gâteau","professional musician","guildford, surrey"
"336","marie",66,6,1,3,"star baker","zingy citrus madeira cake","a walk in the black forest","retired","auchterarder, perthshire"
"337","alvin",37,6,2,6,"in","jackfruit, pistachio and macadamia biscotti","gingerbread box filled with brandy snaps","nurse","bracknell, berkshire"
"338","dorret",53,6,2,1,"in","almond and apricot biscotti with amber sugar crystals","box of frogs","accountant","penwortham, lancashire"
"339","flora",19,6,2,2,"in","wedding biscotti","honey and earl grey tea box","art gallery assistant","dunkeld, perth and kinross"
"340","mat",37,6,2,5,"in","pistachio, cranberry and white chocolate biscotti","gingerbread fire engine","fire fighter","london"
"341","nadiya",30,6,2,9,"in","coconut, fennel and pistachio biscotti","box of fortunes","full-time mother","leeds / luton"
"342","paul",49,6,2,10,"in","chocolate, hazelnut and fig biscotti","memory box","prison governor","swansea, wales"
"343","sandy",49,6,2,4,"in","chocolate chunk and hazelnut biscotti","sundried tomato cheese biscuit box","child welfare officer","yeadon, west yorkshire"
"344","tamal",29,6,2,8,"in","cinnamon, maple and cranberry biscotti","chessboard box","trainee anaesthetist","manchester"
"345","ugnė",32,6,2,7,"in","white wine biscotti","baby climbing into the cookie box","pa and administrator","woodford, london / vilkaviškis, lithuania"
"346","marie",66,6,2,11,"out","biscotti italiano","russian box","retired","auchterarder, perthshire"
"347","ian",41,6,2,3,"star baker","orange, rosemary and almond biscotti","sandwich de la confiture","travel photographer","great wilbraham, cambridgeshire"
"348","alvin",37,6,3,4,"in","prosciutto, manchego and balsamic onion soda breads","cornucopia","nurse","bracknell, berkshire"
"349","flora",19,6,3,2,"in","fig and hazelnut rye breads","herb couture","art gallery assistant","dunkeld, perth and kinross"
"350","mat",37,6,3,8,"in","jalapeño, mexican cheddar and smoked salt soda breads","curry inspired brighton pavilion","fire fighter","london"
"351","nadiya",30,6,3,9,"in","mexican bread with warm tomato salsa","snake charmer's basket","full-time mother","leeds / luton"
"352","paul",49,6,3,10,"in","cranberry and orange sweet soda breads","king of the jungle","prison governor","swansea, wales"
"353","sandy",49,6,3,7,"in","soda breads with smoked bacon and onion","basket of bread flowers with a walnut and blue cheese centre","child welfare officer","yeadon, west yorkshire"
"354","tamal",29,6,3,3,"in","fig, cheese and walnut breads","breadcycle","trainee anaesthetist","manchester"
"355","ugnė",32,6,3,5,"in","chocolate quick breads with salted caramel sauce","easter basket","pa and administrator","woodford, london / vilkaviškis, lithuania"
"356","dorret",53,6,3,6,"out","walnut and stilton soda breads","unmade bread","accountant","penwortham, lancashire"
"357","ian",41,6,3,1,"star baker","wild garlic pesto soda breads","flour power","travel photographer","great wilbraham, cambridgeshire"
"358","alvin",37,6,4,9,"in","blackberry crème brûlées","tower of fruits cheesecakes","nurse","bracknell, berkshire"
"359","flora",19,6,4,3,"in","rhubarb and ginger crème brûlées","elderflower and granola cheesecakes","art gallery assistant","dunkeld, perth and kinross"
"360","mat",37,6,4,7,"in","coconut crème brûlées","chocolate bar cheesecakes","fire fighter","london"
"361","nadiya",30,6,4,8,"in","cinnamon tea crème brûlées","fizzy pop cheesecakes","full-time mother","leeds / luton"
"362","paul",49,6,4,1,"in","almond crème brûlées","berry cheesecake tower","prison governor","swansea, wales"
"363","tamal",29,6,4,5,"in","rhubarb and ginger crème brûlées","mango, hazelnut and rosemary cheesecake trio","trainee anaesthetist","manchester"
"364","ugnė",32,6,4,2,"in","marula fruit and coffee liqueur crème brûlées","lime, coconut and hazelnut cheesecakes","pa and administrator","woodford, london / vilkaviškis, lithuania"
"365","sandy",49,6,4,6,"out","pontefract crème brûlées","cassata, whisky and orange & apple pie cheesecakes","child welfare officer","yeadon, west yorkshire"
"366","ian",41,6,4,4,"star baker","pomegranate two ways crème brûlées","trio of spicy and herby baked cheesecakes","travel photographer","great wilbraham, cambridgeshire"
"367","alvin",37,6,5,8,"in","pineapple upside down cake","buko pandan, mango and passion fruit ice cream roll","nurse","bracknell, berkshire"
"368","flora",19,6,5,3,"in","pistachio, apple and cardamom madeleine cake","chocolate and pear bûche","art gallery assistant","dunkeld, perth and kinross"
"369","ian",41,6,5,5,"in","honey and flowers cake","dessert island","travel photographer","great wilbraham, cambridgeshire"
"370","mat",37,6,5,4,"in","sugar free carrot cake","raspberry and coconut ice cream roll","fire fighter","london"
"371","paul",49,6,5,2,"in","carrot & pecan cake","dessert island getaway","prison governor","swansea, wales"
"372","tamal",29,6,5,7,"in","honey and grapefruit polenta cake","passion fruit and pineapple ice cream roll","trainee anaesthetist","manchester"
"373","ugnė",32,6,5,6,"out","chocolate and hazelnut sugar-free cake","chocolate, peanut butter and grape jam roll","pa and administrator","woodford, london / vilkaviškis, lithuania"
"374","nadiya",30,6,5,1,"star baker","naked blueberry and caraway crunch cake","chocolate and strawberry lime ice cream roll","full-time mother","leeds / luton"
"375","flora",19,6,6,2,"in","apricot and rosemary frangipane tart","asparagus and parma ham and praline and chocolate vol-au-vents","art gallery assistant","dunkeld, perth and kinross"
"376","ian",41,6,6,3,"in","pear and raspberry frangipane tart","vol-au-vents terre et mer","travel photographer","great wilbraham, cambridgeshire"
"377","nadiya",30,6,6,4,"in","bay leaf, rong tea and pear tart","bengali korma and clementine with cod vol-au-vents","full-time mother","leeds / luton"
"378","paul",49,6,6,5,"in","christmas frangipane tart","savoury and sweet bouchées","prison governor","swansea, wales"
"379","tamal",29,6,6,7,"in","spiced pear frangipane tart","fennel and rosemary pulled pork and chicken and coriander vol-au-vents","trainee anaesthetist","manchester"
"380","alvin",37,6,6,6,"out","plum frangipane tart","smoked salmon en croûte and vermouth chicken à la king vol-au-vents","nurse","bracknell, berkshire"
"381","mat",37,6,6,1,"star baker","piña colada frangipane tart","his 'n' hers vol-au-vents","fire fighter","london"
"382","flora",19,6,7,4,"in","game pie with shallot and apple chutney","raspberry, pomegranate and champagne charlotte russe","art gallery assistant","dunkeld, perth and kinross"
"383","ian",41,6,7,5,"in","roadkill pie","victoria's crown charlotte russe","travel photographer","great wilbraham, cambridgeshire"
"384","nadiya",30,6,7,1,"in","aromatic raised game pie","mango and raspberry charlotte russe","full-time mother","leeds / luton"
"385","paul",49,6,7,2,"in","not a boaring pie","charlotte rose","prison governor","swansea, wales"
"386","mat",37,6,7,6,"out","raised venison and pigeon pie","strawberry charlotte russe","fire fighter","london"
"387","tamal",29,6,7,3,"star baker","middle eastern game pie","spiced blackberry, raspberry and cardamom charlotte russe","trainee anaesthetist","manchester"
"388","flora",19,6,8,3,"in","peach & lemon thyme and smoked almond & butterscotch cream horns","lime & basil and coconut & white chocolate religieuse à l'ancienne","art gallery assistant","dunkeld, perth and kinross"
"389","ian",41,6,8,2,"in","mont blanc & black forest gâteau horns","nun with hidden passions","travel photographer","great wilbraham, cambridgeshire"
"390","tamal",29,6,8,4,"in","lime & mascarpone and malt cream horns","passionfruit & mango and pistachio & raspberry religieuse à l'ancienne","trainee anaesthetist","manchester"
"391","paul",49,6,8,5,"out","café tipple & banana crunch-away horns","religieuse à l'ancienne","prison governor","swansea, wales"
"392","nadiya",30,6,8,1,"star baker","rose pistachio and mocha hazelnut horns","bubble gum and peppermint cream religieuse à l'ancienne","full-time mother","leeds / luton"
"393","ian",41,6,9,3,"in","chocolate and bay tart","chocolate well","travel photographer","great wilbraham, cambridgeshire"
"394","tamal",29,6,9,2,"in","chocolate new york pie","chocolate bell tower","trainee anaesthetist","manchester"
"395","flora",19,6,9,1,"out","passion fruit and chocolate tart","cocoa carousel","art gallery assistant","dunkeld, perth and kinross"
"396","nadiya",30,6,9,4,"star baker","peanut salted caramel and chocolate tart","peacock in nan's door","full-time mother","leeds / luton"
"397","ian",41,6,10,2,"runner-up","elderflower and lemon & spiced buns","colossal curvy carrot cake","travel photographer","great wilbraham, cambridgeshire"
"398","tamal",29,6,10,3,"runner-up","cinnamon and apple & toffee and marmalade iced buns","sticky toffee pudding cake","trainee anaesthetist","manchester"
"399","nadiya",30,6,10,1,"winner","cardamom and almond buns & nutmeg and sour cherry fingers","my big fat british wedding cake","full-time mother","leeds / luton"
"400","andrew",25,7,1,12,"in","lemon and rosemary drizzle cake","'ultimate indulgence' mirror glaze cake","aerospace engineer","derby / holywood, county down"
"401","benjamina",23,7,1,6,"in","pistachio, cardamom and lemon drizzle cake","white chocolate mirror glaze with salted praline buttercream","teaching assistant","south london"
"402","candice",31,7,1,5,"in","raspberry and rhubarb drizzle custard bundt cake","mirror mirror on the wall, who is the shiniest cake of them all?","pe teacher","barton-le-clay, bedfordshire"
"403","kate",37,7,1,4,"in","berry best apple and bramble drizzle cake","one swallow does not make a summer cake","nurse","brooke, norfolk"
"404","louise",46,7,1,9,"in","orange liqueur and lemonade drizzle cake","white chocolate trifle mirror glaze cake","hairdresser","cardiff"
"405","michael",20,7,1,3,"in","lime, ginger and honey drizzle cake","matcha tea chocolate mirror glaze","student","durham"
"406","rav",28,7,1,8,"in","ginger spice yuzu drizzle cake","colombian mocha mirror glaze cake","student support","erith"
"407","selasi",30,7,1,1,"in","citrus and spice drizzle cake","raspberry, sloe and white chocolate mirror glaze cake","client service associate","london"
"408","tom",26,7,1,2,"in","g&t drizzle cake","black forest broken mirror","project engagement manager","rochdale"
"409","val",66,7,1,10,"in","mum's orange and lemon drizzle","chocolate sponge with four fruit frosting","semi-retired, substitute teacher","yeovil"
"410","lee",67,7,1,11,"out","st. clements orange and lemon drizzle cake","strawberry surprise mirror cake","pastor","bolton"
"411","jane",61,7,1,7,"star baker","lemon and poppy seed drizzle cake","chocolate orange mirror cake","garden designer","beckenham"
"412","andrew",25,7,2,4,"in","beehive biscuits","punting in cambridge","aerospace engineer","derby / holywood, county down"
"413","benjamina",23,7,2,3,"in","bouquet biscuits","new york, new york","teaching assistant","south london"
"414","jane",61,7,2,2,"in","flower pot iced biscuits","hastings old town fishing net shops and boat","garden designer","beckenham"
"415","kate",37,7,2,1,"in","""a biscuit for the broads""","""i promise i will do my best""","nurse","brooke, norfolk"
"416","michael",20,7,2,9,"in","malt, chocolate and orange iced ""beer"" biscuits","trip to see santa in lapland","student","durham"
"417","rav",28,7,2,6,"in","union jack bunting biscuits","gingerbread christmas fairground","student support","erith"
"418","selasi",30,7,2,11,"in","""wheelie hot iced biscuits""","stained glass window gingerbread church","client service associate","london"
"419","tom",26,7,2,7,"in","chai frappelatteccino biscuits","tom and pod's near death experience","project engagement manager","rochdale"
"420","val",66,7,2,5,"in","sunday treat iced ice cream cone biscuits","from holland to new york via yorkshire","semi-retired, substitute teacher","yeovil"
"421","louise",46,7,2,10,"out","baa bara brith biscuits","gingerbread wedding","hairdresser","cardiff"
"422","candice",31,7,2,8,"star baker","salted caramel, chocolate iced shiny hearts","gingerbread pub with sticky ginger carpet","pe teacher","barton-le-clay, bedfordshire"
"423","andrew",25,7,3,2,"in","chocolate barmbrack bread","braided harvest bread basket","aerospace engineer","derby / holywood, county down"
"424","benjamina",23,7,3,6,"in","chocolate, tahini and almond babka","braided bread heart","teaching assistant","south london"
"425","candice",31,7,3,3,"in","chocolate, salted caramel & pecan brittle brioche loaf","italian light and dark rye twist","pe teacher","barton-le-clay, bedfordshire"
"426","jane",61,7,3,9,"in","chocolate and cranberry couronne","chorizo and chilli flower with parmesan and pesto centre","garden designer","beckenham"
"427","kate",37,7,3,8,"in","cobbled loaf","the corn maiden","nurse","brooke, norfolk"
"428","rav",28,7,3,10,"in","chocolate, cardamom and hazelnut loaf","three tier diwali bread centrepiece","student support","erith"
"429","selasi",30,7,3,5,"in","chocolate, orange and cinnamon bread","bedouin escape tear and share bread","client service associate","london"
"430","val",66,7,3,1,"in","double chocolate cinnamon twist loaf","""and they all went into the ark to get out of the rain""","semi-retired, substitute teacher","yeovil"
"431","michael",20,7,3,7,"out","chocolate and chilli swirl plait","cypriot dove and olive branch plaited loaf with houmous","student","durham"
"432","tom",26,7,3,4,"star baker","chocolate orange and chilli swirl bread","jörmungandr and mjölnir","project engagement manager","rochdale"
"433","andrew",25,7,4,4,"in","yorkshire 'tapas' puddings","churros window box","aerospace engineer","derby / holywood, county down"
"434","candice",31,7,4,2,"in","yorkshire wellingtons","two-way peanut butter churros","pe teacher","barton-le-clay, bedfordshire"
"435","jane",61,7,4,3,"in","meat and two veg yorkshires","pistachio and white chocolate churros","garden designer","beckenham"
"436","rav",28,7,4,9,"in","thai tofu panang yorkshires","three dip matcha pistachio churros","student support","erith"
"437","selasi",30,7,4,8,"in","perfect sunday roast accompaniment","lemon and anise churros","client service associate","london"
"438","tom",26,7,4,5,"in","west yorkshire fusion puddings","fennel churros snake in the grass","project engagement manager","rochdale"
"439","val",66,7,4,6,"in","mum's chilli yorkshire puddings","orange chocolate churros","semi-retired, substitute teacher","yeovil"
"440","kate",37,7,4,7,"out","christmas dinner compromise","hot cross bunny churros","nurse","brooke, norfolk"
"441","benjamina",23,7,4,1,"star baker","red onion chutney, brie and bacon yorkshire puddings","tropical churros","teaching assistant","south london"
"442","andrew",25,7,5,6,"in","mum and dad's breakfast pastries","spicy chorizo squash parcels and baklava bites","aerospace engineer","derby / holywood, county down"
"443","benjamina",23,7,5,5,"in","'good morning america' swirls and peanut butter and banana pinwheels","plantain and spinach samosas and chai pear cups","teaching assistant","south london"
"444","jane",61,7,5,1,"in","orange pain au raisins, raspberry, chocolate and almond danish","roquefort, fig and walnut parcels and cherry and chocolate cones","garden designer","beckenham"
"445","rav",28,7,5,8,"in","cinnamon swirls and pecan, walnut and maple plaits","chinese style prawn filo tartlets and spiced white chocolate and hazelnut samosas","student support","erith"
"446","selasi",30,7,5,3,"in","rhubarb, mango and ginger plait, and pineapple and coconut pinwheels","parma ham, asparagus and cheese filo cigars and coffee cream filo cups","client service associate","london"
"447","tom",26,7,5,4,"in","mega breakfast bonanzas; granola spirals and wheat foldovers","yin and yang amuse-bouche","project engagement manager","rochdale"
"448","val",66,7,5,7,"out","pecan and maple syrup pinwheels and apple, sultana and cinnamon swirls","caramelised red onion, goats cheese tartlets and mincemeat and apple spiced parcels","semi-retired, substitute teacher","yeovil"
"449","candice",31,7,5,2,"star baker","danish pastry croque monsieur kites and cinnamon apple, vanilla crème rose danish","sausage, black pudding and apple rounds and banoffee whiskey cups","pe teacher","barton-le-clay, bedfordshire"
"450","andrew",25,7,6,6,"in","tangy lime and ginger meringue pie","spring elderflower trio","aerospace engineer","derby / holywood, county down"
"451","benjamina",23,7,6,2,"in","grapefruit and ginger meringue pie","floral tea cake","teaching assistant","south london"
"452","candice",31,7,6,5,"in","lime, coconut and lemongrass sugar meringue pie","four seasons cake","pe teacher","barton-le-clay, bedfordshire"
"453","jane",61,7,6,4,"in","lime and coconut meringue pie","three tier orange cake with a floral chocolate collar","garden designer","beckenham"
"454","selasi",30,7,6,7,"in","grapefruit, orange and mint meringue pie","three tiered ombré floral cake","client service associate","london"
"455","rav",28,7,6,3,"out","mandarin margarita meringue pie","blossom cake","student support","erith"
"456","tom",26,7,6,1,"star baker","blood orange halloween pumpkin pie","floral tea cake","project engagement manager","rochdale"
"457","benjamina",23,7,7,3,"in","piña colada roulade","apple crumble mousse cake and chocolate coffee mousse cake","teaching assistant","south london"
"458","candice",31,7,7,2,"in","crowd pleaser roulade","blackberry and raspberry bubbles and after dinner mousse","pe teacher","barton-le-clay, bedfordshire"
"459","jane",61,7,7,4,"in","chocolate and hazelnut roulade","chocolate, coffee, and vanilla joconde cakes and blackcurrant and vanilla ombre mousses","garden designer","beckenham"
"460","selasi",30,7,7,6,"in","summer picnic roulade","lemon, strawberry and passionfruit and chocolate and mint mini mousse cakes","client service associate","london"
"461","tom",26,7,7,5,"out","millionaire's roulade","hipster picnic","project engagement manager","rochdale"
"462","andrew",25,7,7,1,"star baker","tropical holiday roulade","childhood ice cream mousse cakes","aerospace engineer","derby / holywood, county down"
"463","andrew",25,7,8,2,"in","da vinci inspired geared pies","jousting knights marchpane","aerospace engineer","derby / holywood, county down"
"464","jane",61,7,8,5,"in","tudor rose pies","swans","garden designer","beckenham"
"465","selasi",30,7,8,3,"in","bouquet of flowers","fruity tudor marchpane","client service associate","london"
"466","benjamina",23,7,8,4,"out","mexican adventure","tudor garden","teaching assistant","south london"
"467","candice",31,7,8,1,"star baker","cheesy cheeky fish pies","peacock","pe teacher","barton-le-clay, bedfordshire"
"468","candice",31,7,9,3,"in","red onion, cambozola and walnut palmiers and mushroom, streaky bacon, and parmesan palmiers","chocolate praline fondant fancies and cherry bakewell fondant fancies","pe teacher","barton-le-clay, bedfordshire"
"469","jane",61,7,9,1,"in","pesto and sundried tomato palmiers and goats cheese, olive and parma ham palmiers","pistachio and raspberry fondant fancies and lemon curd surprise fondant fancies","garden designer","beckenham"
"470","selasi",30,7,9,4,"out","sundried tomato, onion, peppers and parmesan palmiers and salmon, spinach and mushroom palmiers","lime and ginger fondant fancies and pink velvet and raspberry prosecco fondant fancies","client service associate","london"
"471","andrew",25,7,9,2,"star baker","cheesy elephant ears and herby treble clefs","philharmonic fondants","aerospace engineer","derby / holywood, county down"
"472","andrew",25,7,10,1,"runner-up","crunchy caramel cassis crown","family and friends' favourites picnic","aerospace engineer","derby / holywood, county down"
"473","jane",61,7,10,3,"runner-up","red, white and blue meringue crown","family favourites feast","garden designer","beckenham"
"474","candice",31,7,10,2,"winner","queen victoria's mango and strawberry crown","picnic for pearly kings and queens","pe teacher","barton-le-clay, bedfordshire"
"475","chris",50,8,1,12,"in","tropical fresh fruit cake","'raised pork pie and egg surprise' cake","software developer","bristol"
"476","flo",71,8,1,9,"in","citrus layer cake","'one in a melon' cake","retired","merseyside"
"477","james",46,8,1,2,"in","orange, rhubarb & ginger crumble cake","'mock-accino and croissant' cake","banker","brentwood, essex"
"478","julia",21,8,1,3,"in","courgette and lemon cake","'russian doll' cake","aviation broker","crawley, west sussex"
"479","kate",29,8,1,1,"in","moroccan strawberry and rose cake","'chocolate terrarium' cake","health and safety inspector","merseyside"
"480","liam",19,8,1,8,"in","apple and almond crumble maple loaf","'stackin' sunday' cake","student","north london"
"481","sophie",33,8,1,5,"in","pineapple and coconut sandwich cake","'champagne bottle and bucket' cake","former army officer and trainee stuntwoman","west molesey, surrey"
"482","stacey",42,8,1,11,"in","granny smith apple and walnut cake","'black evening clutch bag' cake","former school teacher","radlett, hertfordshire"
"483","tom",29,8,1,7,"in","gilded pear and cardamom cake","'stack of books' cake","architect","edinburgh"
"484","yan",46,8,1,4,"in","windfall apple crumble cake","'banana-ramen' cake","laboratory research scientist","north london"
"485","peter",52,8,1,10,"out","coconut cake","'bread on a breadboard' cake","it programme manager","southend, essex"
"486","steven",34,8,1,6,"star baker","bonfire night cake","'a baker's lunch' cake","marketer","watford, hertfordshire"
"487","flo",71,8,2,10,"in","gin jam butties","'pick my bones' game","retired","merseyside"
"488","james",46,8,2,3,"in","rhubarb and custard whirls","'coppit' game","banker","brentwood, essex"
"489","julia",21,8,2,4,"in","middle eastern delight sandwich biscuits","'a british baking' game","aviation broker","crawley, west sussex"
"490","kate",29,8,2,8,"in","coconut seashells for a titanic afternoon tea","'jungle' game","health and safety inspector","merseyside"
"491","liam",19,8,2,7,"in","coffee malted pecan shorties","'classroom classics' game","student","north london"
"492","sophie",33,8,2,2,"in","lemon limoncino sandwich biscuits","'snakes and ladders' game","former army officer and trainee stuntwoman","west molesey, surrey"
"493","stacey",42,8,2,9,"in","sparkly chocolate and marshmallow fluff cookies","'get to school' game","former school teacher","radlett, hertfordshire"
"494","tom",29,8,2,5,"in","coffee and amaretto kisses","'drain pipes and ladders' game","architect","edinburgh"
"495","yan",46,8,2,1,"in","'mrs. marian's pb 'n' b' biscuits","'adventures in bakeland' game","laboratory research scientist","north london"
"496","chris",50,8,2,11,"out","chocolate chia seed biscuits with whisky caramel filling","'the great british sail off' game","software developer","bristol"
"497","steven",34,8,2,6,"star baker","amarpressi biscuits","'check bake' game","marketer","watford, hertfordshire"
"498","james",46,8,3,9,"in","nordic teacakes","'owl in the woods' bread sculpture","banker","brentwood, essex"
"499","kate",29,8,3,10,"in","blueberry buns","'kraken' bread sculpture","health and safety inspector","merseyside"
"500","liam",19,8,3,5,"in","jamaican spiced teacakes","'kneadapolitan' bread sculpture","student","north london"
"501","sophie",33,8,3,6,"in","tagine teacakes","'picnic basket' bread sculpture","former army officer and trainee stuntwoman","west molesey, surrey"
"502","stacey",42,8,3,1,"in","cranberry and cinnamon teacakes","'ascot hat' bread sculpture","former school teacher","radlett, hertfordshire"
"503","steven",34,8,3,3,"in","madras cocktail teacakes","'the bag i knead' bread sculpture","marketer","watford, hertfordshire"
"504","tom",29,8,3,4,"in","orange and cranberry teacakes","'pink & yellow rose centrepiece' bread sculpture","architect","edinburgh"
"505","yan",46,8,3,8,"in","'mrs p's' masala chai spiced teacakes","'basil the vegetarian dragon with his pumpkin hoard' bread sculpture","laboratory research scientist","north london"
"506","flo",71,8,3,7,"out","cinnamon and orange teacakes","'davy jones' locker' bread sculpture","retired","merseyside"
"507","julia",21,8,3,2,"star baker","earl grey dried fruit teacakes","'the snail under a mushroom' bread sculpture","aviation broker","crawley, west sussex"
"508","james",46,8,4,2,"in","'windy city' millionaire shortbreads","nutty caramel cake","banker","brentwood, essex"
"509","julia",21,8,4,9,"in","pecan salted caramel millionaire shortbreads","poppy seed caramel cake","aviation broker","crawley, west sussex"
"510","liam",19,8,4,3,"in","salted peanut butter millionaire shortbreads","white layered ginger caramel cake","student","north london"
"511","sophie",33,8,4,4,"in","jaffa millionaire shortbreads","bird's nest caramel cake","former army officer and trainee stuntwoman","west molesey, surrey"
"512","stacey",42,8,4,1,"in","rum salted caramel millionaire shortbreads","chocolate and coffee caramel cake","former school teacher","radlett, hertfordshire"
"513","steven",34,8,4,7,"in","orange macadamia nut millionaire shortbreads","caramel crown cake","marketer","watford, hertfordshire"
"514","yan",46,8,4,8,"in","'lil' red's ginger and nuts' millionaire shortbreads","animals of the rainforest caramel cake","laboratory research scientist","north london"
"515","tom",29,8,4,5,"out","stem ginger caramel shortbreads","hummingbird cake","architect","edinburgh"
"516","kate",29,8,4,6,"star baker","salted bay caramel millionaire shortbreads","sticky toffee apple caramel cake","health and safety inspector","merseyside"
"517","julia",21,8,5,3,"in","orange & treacle steamed school pudding","'opulent ornament' trifle terrine","aviation broker","crawley, west sussex"
"518","kate",29,8,5,8,"in","'mr darcy's steamy lake scene' steamed school pudding","'my great great nan's' raspberry trifle terrine","health and safety inspector","merseyside"
"519","liam",19,8,5,2,"in","cherries & lemons that are 'baked well'","'cheers lads' trifle terrine","student","north london"
"520","stacey",42,8,5,4,"in","bakewell tart steamed school pudding","tropical trifle terrine","former school teacher","radlett, hertfordshire"
"521","steven",34,8,5,5,"in","lemon & blackcurrant drizzle steamed school pudding","'from across the jelly pond' trifle terrine","marketer","watford, hertfordshire"
"522","yan",46,8,5,6,"in","mango fruit hat steamed school pudding","'heart of a hero' trifle terrine","laboratory research scientist","north london"
"523","james",46,8,5,7,"out","orange and ginger steamed school pudding","'the missed silver jubilee' trifle terrine","banker","brentwood, essex"
"524","sophie",33,8,5,1,"star baker","ginger, fig and honey steamed school pudding","raspberry, yuzu & white chocolate bûche trifle terrine","former army officer and trainee stuntwoman","west molesey, surrey"
"525","kate",29,8,6,5,"in","'vegetarian pie faces' decorative pies","potato curry pie with mango & chilli glaze","health and safety inspector","merseyside"
"526","sophie",33,8,6,2,"in","'the four seasons' decorative pies","game pie with glazed forest fruits","former army officer and trainee stuntwoman","west molesey, surrey"
"527","stacey",42,8,6,6,"in","'love theme' decorative pies","indian hand raised pie with mango","former school teacher","radlett, hertfordshire"
"528","steven",34,8,6,3,"in","'fleetwood mac' decorative pies","christmas pie","marketer","watford, hertfordshire"
"529","yan",46,8,6,1,"in","'πr2' decorative pies","chequerboard pie","laboratory research scientist","north london"
"530","julia",21,8,6,7,"out","'pies from the tree' decorative pies","'special occasion' pie","aviation broker","crawley, west sussex"
"531","liam",19,8,6,4,"star baker","'standard fc' decorative pies","'nan's sunday dinner' pie","student","north london"
"532","kate",29,8,7,6,"in","'happy hour' cocktail cannoli","'flavour fusion' sfogliatelle","health and safety inspector","merseyside"
"533","liam",19,8,7,2,"in","'just doing me' cannoli","'morning delivery' sfogliatelle","student","north london"
"534","sophie",33,8,7,3,"in","'classics with a twist' cannoli","'classics' sfogliatelle","former army officer and trainee stuntwoman","west molesey, surrey"
"535","stacey",42,8,7,4,"in","my all time favourite desserts","pastry surprise","former school teacher","radlett, hertfordshire"
"536","yan",46,8,7,5,"out","cannoli cocktails","canadian-style sfogliatelle","laboratory research scientist","north london"
"537","steven",34,8,7,1,"star baker","italian style cannoli","'sicilian-style' sfogliatelle","marketer","watford, hertfordshire"
"538","kate",29,8,8,2,"in","burrito bedfordshire clangers","'liver building turret' savoy cake","health and safety inspector","merseyside"
"539","sophie",33,8,8,4,"in","char siu & banana praline bedfordshire clangers","citrus with green apple croquembouche savoy cake","former army officer and trainee stuntwoman","west molesey, surrey"
"540","steven",34,8,8,1,"in","'mediterranean medley' bedfordshire clangers","chestnut rum savoy cake","marketer","watford, hertfordshire"
"541","liam",19,8,8,5,"out","'take out' bedfordshire clangers","'fort wizardore' savoy cake","student","north london"
"542","stacey",42,8,8,3,"star baker","camembert & onion and apple & blueberry bedfordshire clangers","'bright' lemon & orange savoy cake","former school teacher","radlett, hertfordshire"
"543","kate",29,8,9,4,"in","bellini and valencian orange choux buns","'rainbow' meringue centrepiece","health and safety inspector","merseyside"
"544","steven",34,8,9,3,"in","key lime cheesecake and bakewell tart choux buns","'some air over the rainbow' meringue centrepiece","marketer","watford, hertfordshire"
"545","stacey",42,8,9,2,"out","'choux-nicorn and choux-moji' choux buns","'flamingos in love' meringue centrepiece","former school teacher","radlett, hertfordshire"
"546","sophie",33,8,9,1,"star baker","strawberry & rhubarb and chestnut & vanilla choux buns","'tutu with opera filling' meringue centrepiece","former army officer and trainee stuntwoman","west molesey, surrey"
"547","kate",29,8,10,3,"runner-up","roman spelt, coconut kala chana and flower breads","white chocolate, yuzu and lychee entremet","health and safety inspector","merseyside"
"548","steven",34,8,10,1,"runner-up","spelt & rye, toasted garlic & fontina and sweet chocolate breads","'yin yang' entremet","marketer","watford, hertfordshire"
"549","sophie",33,8,10,2,"winner","spelt boules, mushroom ciabatta and orange plaited brioche","'ode to the honey bee' entremet","former army officer and trainee stuntwoman","west molesey, surrey"
"550","antony",30,9,1,12,"in",NA,NA,"banker","london"
"551","briony",33,9,1,2,"in",NA,NA,"full-time parent","bristol"
"552","dan",36,9,1,4,"in",NA,NA,"full-time parent","london"
"553","jon",47,9,1,5,"in",NA,NA,"blood courier","newport"
"554","karen",60,9,1,6,"in",NA,NA,"in-store sampling assistant","wakefield"
"555","kim-joy",27,9,1,10,"in",NA,NA,"mental health specialist","leeds"
"556","luke",30,9,1,8,"in",NA,NA,"civil servant/house and techno dj","sheffield"
"557","rahul",30,9,1,7,"in",NA,NA,"research scientist","rotherham"
"558","ruby",29,9,1,1,"in",NA,NA,"project manager","london"
"559","terry",56,9,1,9,"in",NA,NA,"retired air steward","west midlands"
"560","imelda",33,9,1,11,"out",NA,NA,"countryside recreation officer","county tyrone"
"561","manon",26,9,1,3,"star baker",NA,NA,"software project manager","london"
